food_name,protein_g,fat_g,carbohydrates_g,calories_kcal,water_g,fiber_g,calcium_mg,iron_mg,magnesium_mg,potassium_mg,sodium_mg,vitamin_a_ug,vitamin_d_ug,vitamin_c_mg,vitamin_b12_ug,cholesterol_mg,sugar_g
100% PURE SESAME OIL,0,96.355,0,882.5892857,,0,0,0,,0,0.595744681,0,,0,,0,0
100% PURE SESAME PASTE,50,150,66.67,1833,,16.7,3333,30,,,83,,,0,,,
100% PURE SESAME TAHINI,25,53.57,17.86,643,,14.3,143,2.57,,,7,,,0,,0,0
100% PURE SHEEP'S MILK CHEESE,17.86,32.14,0,357,,0,536,1.29,,,1464,,,0,,107,0
100% PURE SHEEP'S MILK CRUMBLES,14.29,21.43,0,286,,0,286,0,,,1107,,,0,,71,0
100% PURE SOLID PACKED PUMPKIN,0.83,0,8.33,33,,2.5,25,1.67,,208,4,,,,,0,3.33
100% PURE SOLUBLE BLACK COFFEE SACHETS,0,0,50,250,,,,,,,0,,,,,,0
100% PURE SOUTHEAST RAW & UNFILTERED HONEY,0,0,85.71,333,,,,,,,0,,,,,,71.43
"100% PURE SPARKLING APPLE JUICE, APPLE",0.34,0,14.53,,,0,0,0,,,0,,,20.3,,0,13.18
100% PURE SPICES PREMIUM ALL PURPOSE SEASONING,0,0,0,0,,,,,,,20000,,,,,0,
"100% PURE SPICES PREMIUM CAJUN SEASONING, CAJUN",0,0,0,0,,,,,,,20833,,,,,0,
100% PURE SQUEEZED GRAPEFRUIT JUICE,0.42,0,10.42,42,,,8,,10,125,4,,,22.5,,0,8.75
"100% PURE SQUEEZED GRAPEFRUIT JUICE, GRAPEFRUIT",0.42,0,10.42,42,,,8,,10,125,4,,,22.5,,0,8.75
100% PURE SQUEEZED JUICE,0.42,0,10.42,42,,,8,,10,125,4,,,22.5,,0,10.42
"100% PURE SQUEEZED JUICE, TANGERINE",0.65,0.16,10.32,45,,0.3,0,0.23,,181,0,,,19.4,,0,10
100% PURE SQUEEZED PASTEURIZED ORANGE JUICE,0.83,0,10.83,46,,,205.1111111,,10,188,0,,,25,,0,9.58
"100% PURE SQUEEZED PASTEURIZED ORANGE JUICE, ORANGE",0.83,0,10.83,46,,,42.5,,10,188,0,,,23.125,,0,9.58
100% PURE SQUEEZED PREMIUM JUICE,0.42,0,9.17,38,,0,10,0.13,11,,0,,,26.2,,0,7.08
100% PURE SQUEEZED PREMIUM ORANGE JUICE,0.83,0,10.83,46,,0,135,0.13,11,,0,,,30,,0,9.17
100% PURE SQUEEZED PREMIUM ORANGE JUICE WITH PULP,0.83,0,10.83,46,,0,11,0.12,11,,0,,,30,,0,9.17
"100% PURE SQUEEZED PREMIUM ORANGE JUICE, ORANGE",0.83,0,10.83,46,,0,58.66666667,0,,188,0,,,30,,0,9.58
100% PURE SUGAR CANE MOLASSES UNSULPHURED,0,0,100,400,,,267,7.2,,1933,33,,,,,,100
100% PURE SUGAR SHACK MAPLE SYRUP,0,0,88.33,333,,0,,,,,8,,,,,,88.33
100% PURE SUNFLOWER OIL,0,93.33,0,867,,,,,,,0,,,,,,
100% PURE SYRUP,0,0,83.33,360,,,67,,27,233,17,,,,,0,80
100% PURE TART CHERRY JUICE FROM CONCENTRATE,0,0,14.58,58,,,,,,83,12,,,,,,11.67
"100% PURE TART CHERRY JUICE FROM CONCENTRATE, TART CHERRY",0,0,14.58,58,,,,,,83,12,,,,,,11.67
100% PURE TEXAS RAW & UNFILTERED HONEY,0,0,85.71,333,,,,,,,0,,,,,,71.43
100% PURE TEXAS RAW HONEY,0,0,80.95,286,,,,,,,0,,,,,,76.19
100% PURE TEXAS RAW HONEY ,0,0,80.95,286,,,,,,,0,,,,,,76.19
100% PURE U.S. HONEY,0,0,80.95,286,,,,,,,0,,,,,,76.19
100% PURE UNFILTERED HONEY,0,0,80.95,286,,,,,,,0,,,,,,76.19
100% PURE UNREFINED COLD PRESSED GRAPESEED OIL,0,86.67,0,800,,,,,,,0,,,,,,
"100% PURE UNSWEETENED CRANBERRY JUICE FROM CONCENTRATE, CRANBERRY",0,0,7.5,25,,,,,,75,6,,,,,,3.75
100% PURE VEGETABLE COOKING OIL,0,100,0,857,,,,,,,0,,,,,,
100% PURE VEGETABLE OIL,0.424323432,99.95654723,0.73800738,860.8078176,,0.612857143,20.65789474,0.563947368,,687.5,10.01845018,,,0,,0,0.574712644
100% PURE VEGETABLE SOYBEAN OIL,0,100,0,857,,,,,,,0,,,,,0,
"100% PURE VERMONT MAPLE ORGANIC SYRUP, VERMONT MAPLE",0,0,88.33,333,,,100,1.2,,,8,,,0,,,88.33
100% PURE VERMONT MAPLE SYRUP,0,0,88.33,322.5,,0,10,0.12,,0,8,,0,0,,3.076923077,88.33
"100% PURE VERMONT MAPLE SYRUP, MAPLE",0,0,88.33,336.9787234,,0,33,0,,117,8,,,,,0,88.33
"100% PURE VERMONT MAPLE SYRUP, PURE VERMONT MAPLE",0,0,88.33,333,,0,0,0,,0,8,,,,,0,88.33
"100% PURE VERMONT MAPLE SYRUP, VERMONT MAPLE",0,0,89.54454545,357.7272727,,,88,1.2,,300,14.54545455,,,0,,,82.27181818
100% PURE VERMONT ORGANIC MAPLE SYRUP,0,0,88.33,333,,,100,1.2,,,8,,,0,,,88.33
"100% PURE VERMONT ORGANIC MAPLE SYRUP, DARK COLOR ROBUST TASTE",0,0,88.33,333,,,,,,,8,,,,,,88.33
"100% PURE VERMONT SYRUP, MAPLE",0,0,88.33,350,,,,,,,8,,,,,,88.33
100% PURE VERY DARK COLOR,0,0,83.33,360,,,67,,27,233,17,,,,,0,80
100% PURE VERY DARK COLOR MAPLE SYRUP,0,0,83.33,360,,,67,,27,233,17,,,,,0,80
100% PURE VIRGIN COCONUT OIL,0,100,0,857,,,,,,,0,,,,,0,
100% PURE WATERMELON WATER,0.066,0,8.5,34,,0.06,5.4,0.24,,80,25,,,12,,0,8.17
100% PURE WEST RAW & UNFILTERED HONEY,0,0,85.71,333,,,,,,,0,,,,,,71.43
100% PURE WHEY PROTEIN POWDER,67.72,5.64,18.06,384,,0,384,0,,677,406,,,,,226,11.29
"100% PURE WHEY PROTEIN POWDER, COOKIES 'N CREAM",67.72,5.64,18.06,384,,0,384,0,,677,406,,,,,226,11.29
"100% PURE WHITE GRAPE JUICE, GRAPE",0,0,15.42,50,,,,,,,0,,,,,,15.42
100% PURE WHITE TEA,0,0,0,0,,,,,,,0,,,,,,
100% PURE WILDFLOWER HONEY,0,0,80.95,286,,,,,,,0,,,,,,80.15666667
"100% PURE WILDFLOWER HONEY, WILDFLOWER",0,0,80.95,286,,,,,,,0,,,,,,76.19
100% PURE WISCONSIN MAPLE SYRUP,0,0,88.33,350,,,67,1.8,,,8,,,,,,83.33
100% PURE WITH MANGO COCONUT WATER,0,0,5,21,,0,8,0,10,196,21,,,75,,0,5
"100% PURE WITH MANGO COCONUT WATER, MANGO",0,0,5,21,,0,8,0,10,196,21,0,,75,,0,5
100% PURE YOUNG COCONUT WATER,0,0,4.85,21,,0,15,0,9,233,8,,,10.9,,0,4.85
"100% PURE YOUNG COCONUT WATER, COCONUT",0,0,5,21,,0,17,0,8,233,8,,,11.2,,0,5
100% PURE! PEANUT POWDER,50,12.5,33.33,417,,16.7,0,2.5,,1308,0,,,,,0,8.33
"100% PURE, RAW & UNFILTERED HONEY MINIS",0,0,85.71,357,,,,,,,0,,,,,,71.43
100% PURE-NATURAL RAW HONEY,0,0,80.95,286,,,,,,,0,,,,,,76.19
"100% PURE-UNSWEETENED PINEAPPLE JUICE FROM CONCENTRATE, PINEAPPLE",0.42,0,10.83,46,,0,8,0.3,,100,4,,,25,,0,9.58
"100% QUINOA PASTA, CURVO RIGATE",14.04,2.63,70.18,368,,0,,,,,52632,,,,,0,
"100% QUINOA PASTA, FUSILLI",14.04,2.63,70.18,368,,0,,,,,52632,,,,,0,
100% QUINOA SQUARES ORGANIC PUFFED CRACKERS,10,15,60,400,,10,60,0,,580,0,,,,,0,10
"100% QUINOA SQUARES ORGANIC PUFFED CRACKERS, PINEAPPLE + SPINACH",10,15,60,400,,10,60,0,,580,0,,,,,0,10
"100% RASPBERRY BLUEBERRY FLAVORED BLEND OF APPLE, RASPBERRY, BLUEBERRY, PEAR & PINEAPPLE JUICE CONCENTRATES, RASPBERRY BLUEBERRY",0.42,0,10.83,46,,,,,,92,6,,,30,,,10.42
100% RAW ALMONDS,20,46.67,20,533,,10,267,3.6,,,0,,,0,,0,3.33
"100% RAW APPLE STRAWBERRY JUICE, APPLE, STRAWBERRY",0,0,11.67,46,,1,0,0.23,,,0,,,2.5,,0,10.42
100% RAW CLOVER HONEY,0,0,80.95,286,,0,0,0,,0,0,,,,,0,80.95
100% RAW HONEY,0,0,80.95,286,,0,0,0,,48,0,,,0,,0,76.82466667
100% RAW HONEY MESQUITE,0,0,80.95,286,,,,,,48,0,,,,,,76.19
"100% RAW HONEY, BASSWOOD",0,0,80.95,286,,,,,,48,0,,,,,,76.19
"100% RAW HONEY, BERRY BLOSSOM",0,0,80.95,286,,,,,,48,0,,,,,,76.19
"100% RAW HONEY, BLUEBERRY BLOSSOM",0,0,80.95,286,,,,,,48,0,,,,,,76.19
"100% RAW HONEY, MOUNTAIN WILDFLOWER",0,0,80.95,286,,,,,,48,0,,,,,,76.19
"100% RAW HONEY, SUNFLOWER",0,0,80.95,286,,,,,,48,0,,,,,,76.19
"100% RAW HONEY, YELLOW SWEET CLOVER",0,0,80.95,286,,,,,,48,0,,,,,,76.19
100% RAW KOMBUCHA,0,0,3.33,12,,0,,,,,0,,,,,0,1.67
100% RAW MANUKA HONEY,2,0,82.57,303,,,,,,,0,,,,,,77.714
100% RAW ORGANIC BLUE AGAVE NECTAR,0,0,76.19,286,,0,,,,,0,,,,,,76.19
100% RAW ORGANIC CHIA SEEDS,16.67,29.17,41.67,500,,41.7,631,10,,160,0,,,,,0,0
100% RAW ORGANIC COLD MILLED GROUND FLAXSEED,16.67,33.33,33.33,500,,33.3,198,8,362,725,0,,,,,0,0
100% RAW ORGANIC HONEY,0,0,80.95,305,,,,,,,3.75,,,,,,76.19
"100% RAW ORGANIC HONEY, ACTIVE BEECHWOOD",0,0,80.95,305,,,,,,,0,,,,,,76.19
"100% RAW ORGANIC HONEY, MANUKA",0,0,80.95,305,,,,,,,5,,,,,,76.19
100% RAW ORGANIC NEW ZEALAND WILD RATA HONEY,0,0,80.95,305,,,,,,,5,,,,,,76.19
"100% RAW ORGANIC POWDER, AGAVE INULIN",0,0,100,375,,100,138,0,,0,0,,,,,0,0
"100% RAW ORGANIC POWDER, EXTRA RICH CACAO",30,5,115,700,,10,0,0,,2260,0,,,,,0,30
"100% RAW ORGANIC POWDER, GOJI BERRIES",14.81,7.41,55.56,333,,7.4,140,8.3,,1130,19,,,19.2,,0,18.52
100% RAW ORGANIC WILD DANDELION HONEY,0,0,80.95,305,,,,,,,5,,,,,,76.19
100% RAW PURE TIACA HONEY,0,0,80.95,305,,,,,,,0,,,,,,76.19
100% RAW PURE ULMO HONEY,0,0,80.95,305,,,,,,,0,,,,,,76.19
"100% RAW UNFILTERED FOREST HONEY, FOREST",0,0,85.71,333,,0,0,1.71,,333,48,,,,,0,61.9
100% RAW UNFILTERED HONEY,0,0,4.76,286,,,,,,,0,,,,,,76.19
100% RAW WILD DANDELION HONEY,0,0,80.95,305,,,,,,,0,,,,,,76.19
100% REAL BACON BITS,42.86,27.38,0,417,,0,,,,,2785.5,,,,,71,
"100% REAL BACON BITS, BACON",42.86,28.57,0,429,,0,0,0,,,2286,,,0,,71,0
"100% REAL BACON BITS, SMOKE",42.86,21.43,0,357,,,,,,,3143,,,,,71,
"100% REAL BACON CRUMBLES, BACON",28.57,35.71,0,429,,0,10,0,,514,1592.142857,,,0,,71,0
100% REAL BACON PIECES,42.86,28.57,0,429,,0,,,,,2714,,,,,71,
100% REAL CHEESE,20,30,0,350,,0,500,0,,,700,,,,,75,0
"100% REAL CHEESE, LIGHT",28.57,14.29,0,238,,0,476,0,,0,762,,,,,48,0
"100% REAL CHEESE, WHITE CHEDDAR",20,30,0,350,,0,500,0,,0,700,,,,,75,0
100% REAL CHOCOLATE,5.88,35.29,58.82,529,,2.9,118,1.06,,,44,,,0,,15,52.94
"100% REAL CHOCOLATE DARK CHOCOLATE MORSELS, DARK CHOCOLATE",7.14,42.86,50,643,,7.1,71,3.57,,500,0,,,,,0,35.71
100% REAL COW'S MILK,3.33,3.33,5.42,62,,0,123.9090909,0,,133,52,,,0.5,,15,5
100% REAL DARK CHOCOLATE PEANUT BUTTER CUPS,6.67,40,53.33,533,,13.3,0,4.8,,,500,,,0,,0,33.33
100% REAL EGG WHITES,10.87,,2.17,54,,,43,,,163,163,,,,,,0
100% REAL FRUIT JUICE,0,0,12.55333333,50.66666667,,,42,0.36,,121,8.666666667,,,35.93333333,,,12.06166667
"100% REAL FRUIT JUICE, APPLE WHITE GRAPE",0,0,12.92,54,,,,0.38,,125,12,,,45,,,12.5
"100% REAL FRUIT JUICE, CHERRY APPLE",0,0,12.24,46,,,42,,,,2,,,25.3,,,11.81
"100% REAL FRUIT JUICE, FRUIT PUNCH",0,0,12.24,46,,,42,,,,2,,,25.3,,,11.81
100% REAL FRUIT MIX! FREEZE DRIED SNACKS,0,0,88.89,333,,11.1,0,4,,,0,,,166.7,,0,55.56
"100% REAL FRUIT MIX! FREEZE DRIED SNACKS, MANGO STRAWBERRY & BANANA",0,0,88.89,333,,11.1,0,4,,,0,,,166.7,,0,55.56
100% REAL FRUIT SNACKS,0,0,80,350,,5,0,0,,,75,,,150,,0,65
100% REAL FRUIT! TINY GUMMIES,0,0,78.57,321,,7.1,429,2.57,429,,536,,,0,,0,64.29
"100% REAL FRUIT! TINY GUMMIES, APPLE ORANGE CARROT & GOJI",0,0,78.57,321,,7.1,429,2.57,429,,536,,,0,,0,64.29
100% REAL ICE CREAM,3.01,11.49,24.83166667,215.1666667,,0.5,100,0.091666667,,,80,,,0.616666667,,35.16666667,18.55666667
"100% REAL ICE CREAM, BIRTHDAY CAKE, BIRTHDAY CAKE",3.08,10.77,32.31,231,,0,92,0,,,77,,,0,,38,26.15
"100% REAL ICE CREAM, BUTTER PECAN",2.94,14.71,22.06,235,,0,118,0,,,140,,,0,,37,16.18
"100% REAL ICE CREAM, CHOCOLATE",3.08,10.77,24.62,200,,1.5,92,0.55,,,62,,,0,,38,16.92
"100% REAL ICE CREAM, COFFEE",2.94,10.29,23.53,206,,0,118,0,,,66,,,0,,37,17.65
"100% REAL ICE CREAM, FANNIE MAY MINT MELTAWAY",2.94,14.71,26.47,250,,1.5,88,0,,,88,,,0,,37,20.59
"100% REAL ICE CREAM, HEAVENLY HASH",3.08,10.77,27.69,215,,0,92,0,,,62,,,0,,31,18.46
"100% REAL ICE CREAM, STRAWBERRY",3.08,7.69,24.62,185,,0,92,0,,,62,,,3.7,,31,21.54
100% REAL JUICE,0,0,9.04,34,,,,,,141,28,,,50.8,,,7.91
"100% REAL JUICE, APPLE PINEAPPLE",0,0,9.04,34,,,,,,141,28,,,50.8,,,7.91
"100% REAL JUICE, CUCUMBER, APPLE, CELERY, KALE, MINT, AND OTHER VEGETABLE JUICES",0.28,0,3.38,14,,0,14,0.2,,180,20,,,5.1,,0,2.25
100% REAL MASHED POTATOES,10.53,0,78.95,368,,5.3,0,0,,,79,,,12.6,,0,0
100% REAL MAYONNAISE,0,78.57,0,714,,0,0,0,,,536,,,0,,71,0
100% REAL POTATO FRENCH FRIES,3.33,30,56.67,500,,6.7,42,1,,733,283,,,,,10,0
100% REAL POTATOES,10.53,0,78.95,368,,5.3,0,0,,,79,,,12.6,,0,0
100% REAL PREMIUM ICE CREAM,4.41,10.29,25,191,,1.5,118,1.06,,,66,,,0,,37,17.65
"100% REAL PREMIUM ICE CREAM, CHOCOLATE",4.41,10.29,25,191,,1.5,118,1.06,,,66,,,0,,37,17.65
100% REAL STRAWBERRIES CHEWY GRANOLA BARS,6.45,12.9,67.74,419,,3.2,32,2.26,,194,48,,,,,0,19.35
"100% REAL STRAWBERRIES CHEWY GRANOLA BARS, 100% REAL STRAWBERRIES",6.45,12.9,67.74,419,,3.2,32,2.26,,194,48,,,,,0,19.35
"100% REAL STRAWBERRIES CHEWY GRANOLA BARS, STRAWBERRIES",6.45,12.9,67.74,419,,3.2,32,2.26,,194,48,,0,,,0,19.35
100% REAL SUGAR GOURMET SODA CRAFTED IN WISCONSIN,0,0,13.52,54,,,,,,,8,,,,,,13.52
100% REAL THICK CUT BACON,37.53333333,33.61,0,470.6666667,,0,0,0.706666667,,,2047.333333,,,17.63333333,,134.6666667,0
100% REAL UNREAL,7.14,35.71,57.14,571,,7.1,0,5.14,,,321,,,0,,14,35.71
100% RECONSTITUTED LEMON JUICE,0,0,0,0,,,,,,,0,,,24,,,0
"100% RECONSTITUTED LEMON JUICE WITH ADDED INGREDIENTS, LEMON",0,0,0,0,,,,,,,0,,,24,,,
"100% RECONSTITUTED LEMON JUICE, LEMON",0,0,0,0,,,0,0,,,0,,,24,,,0
"100% RECONSTITUTED LIME JUICE WITH ADDED INGREDIENTS, LIME",0,0,0,0,,,,,,,0,,,,,,
"100% RECONSTITUTED LIME JUICE, LIME",0,0,0,0,,,,,,,0,,,,,,
"100% RED BEET ORGANIC JUICE FROM CONCENTRATE, RED BEET",0,0,7.5,29,,0.4,17,0.6,,219,58,,,3.8,,0,6.67
"100% RED GRAPE JUICE A BLEND OF WHITE, CONCORD AND RED GRAPE JUICES FROM CONCENTRATE",0.42,0,16.25,58,,,12,0.17,,58,8,,,37.5,,,15
"100% RED GRAPE JUICE, RED GRAPE",0.42,0,16.25,58,,,12,0.17,,58,8,,,37.5,,,15
"100% RED GRAPEFRUIT JUICE, RED GRAPEFRUIT",0.447272727,0,9.283636364,39.36363636,,,8.909090909,,,126.3333333,0,,,18.90909091,,,7.157272727
100% RED LENTIL FUSILLI PASTA,26.79,1.79,60.71,357,,17.9,0,5.36,,875,0,,0,,,0,1.79
100% RED LENTIL ORGANIC STROZZAPRETI,26.5,1.4,52.3,343,,6.4,,,,,,,,,,,
"100% RED RASPBERRY FLAVORED APPLE JUICE BLEND FROM CONCENTRATE, RED RASPBERRY",0,0,12.08,50,,,0,0.15,,117,10,,,30,,,11.25
"100% RED SANGRIA JUICE, RED SANGRIA",0.42,0,15,62,,,12,,,67,6,,,3.8,,,14.17
"100% RED TART CHERRY AN APPLE AND CHERRY JUICE BLEND FROM CONCENTRATE, RED TART CHERRY",0,0,12.08,50,,0.4,,0.42,,113,6,,,,,,10
100% RED TART CHERRY JUICE,0.83,0,12.92,54,,0,17,0.45,,167,27,,,0,,0,12.08
"100% REDUCED ACID ORANGE NO PULP JUICE WITH CALCIUM & VITAMIN A & C, ORANGE",0.83,0,10.83,46,,,42,,,188,0,,,37.5,,,9.17
"100% REDUCED ACID ORANGE NO PULP JUICE WITH CALCIUM & VITAMIN A & C, REDUCED ACID ORANGE",0.83,0,10.83,46,,,42,,,188,0,,,37.5,,,9.17
100% ROASTED COCOA BEANS POWDER FOR BAKING & DRINKING,20,0,60,400,,40,0,36,,,0,,,0,,0,0
100% ROLLED QUICK OATS,12.5,6.25,67.5,375,,10,0,4.363636364,,375,0,,,0,,0,1.818181818
"100% RUBY RED BLEND OF 3 JUICES FROM CONCENTRATE WITH ADDED INGREDIENTS, RUBY RED",0.42,0,10.83,46,,,8,0.15,,96,8,,,25,,,10.83
"100% RUBY RED GRAPEFRUIT FLAVORED BLEND OF 2 JUICES FROM CONCENTRATE, RUBY RED GRAPEFRUIT",0.42,0,12.5,50,,0,0,0,,79,12,,,30,,0,12.08
"100% RUBY RED GRAPEFRUIT FLAVORED BLEND OF APPLE, GRAPE AND GRAPEFRUIT JUICES FROM CONCENTRATE, RUBY RED GRAPEFRUIT",0.42,0,13.33,54,,,8,,,79,6,,,25,,,11.25
100% RUBY RED GRAPEFRUIT JUICE,0.42,0,10,42,,,9,,12,154,0,,,29.2,,,9.58
"100% RUBY RED GRAPEFRUIT JUICE, RUBY RED",0.42,0,10,42,,0,9,0,,154,0,,,29.2,,0,9.58
"100% RUBY RED GRAPEFRUIT JUICE, RUBY RED GRAPEFRUIT",0.42,0,9.881428571,41.42857143,,0,7.714285714,0,12,145.7142857,0,,,28.77142857,,0,9.222857143
100% RUSSET INSTANT MASHED POTATOES,5.26,0,78.95,368,,5.3,53,1.05,,684,79,,,,,0,5.26
100% RUSSET JULIENNE POTATOES IN A CREAMY CHEESE SAUCE,7.14,1.79,78.57,357,,3.6,71,1.07,,679,1643,,,,,0,3.57
100% SAFFLOWER OIL,0,100,0,857,,,,,,,0,,,,,0,
100% SAFFLOWER OLI,0,93.33,0,800,,,,,,,0,,,,,0,
"100% SALSAS, VEGGIE REFRIED BEANS",6.09,1.74,18.26,113,,4.3,35,1.57,,,348,,,2.1,,0,0.87
100% SANFFLOWER OIL,,100,0,857,,,,,,,0,,,,,0,0
100% SANGRIA JUICE,0.42,0,14.17,58,,,8,,,71,6,,,2.5,,,13.75
"100% SANGRIA RED FLAVORED BLEND OF GRAPE, PEAR AND ORANGE JUICES FROM CONCENTRATE, SANGRIA",0.42,0,15,62,,,12,,,67,6,,,3.8,,,14.17
"100% SECRETS OF THE VALLEY APPLE, CHERRY, BLACKCURRANT & OTHER FRUIT JUICE BLEND, SECRETS OF THE VALLEY",0,0,13.33,54,,0,0,0.3,,88,4,,,15,,0,12.08
100% SEMOLINA SHELLS,12.5,0.89,73.21,357,,3.6,,,,,0,,,,,0,0
"100% SEMOLINA, MACARONI PRODUCT ALPHABETS",12.5,0.89,73.21,357,,1.8,,,,,45,,,,,0,3.57
100% SESAME SEEDS TAHINI,26.67,53.33,13.33,667,,3.3,100,46.67,,90,17,,,,,0,0
100% SHEEP MILK QUESO MANCHEGO,21.43,35.71,1.43,429,,0,893,0,,,714,,,0,,107,0
"100% SICILIAN LEMON JUICE, LEMON",0,0,0,100,,,,,,,0,,,96,,,0
100% SILICAN LEMON JUICE,0,0,0,0,,0,0,0,,200,0,,0,,,0,0
100% SIRLOIN BEEF STEAK,20.59,7.84,0.98,147,,0,0,1.41,,,49,0,,0,,44,0
"100% SOCKEYE SALMON BURGERS, 100% SOCKEYE SALMON",15.93,16.81,10.62,248,,0.9,18,0,,291,558,,,,,40,1.77
"100% SOLID MILK CHOCOLATE RABBIT CANDY, MILK CHOCOLATE",5.71,28.57,65.71,543,,2.9,114,4.11,,,43,,,0,,0,57.14
"100% SOME PULP RED GRAPEFRUIT JUICE, RED GRAPEFRUIT",0.48,0,9.42,41,,,10,,,,0,,,11.6,,,7.25
"100% SOURSOP JUICE WITH PULP, SOURSOP",0,0,11.25,46,,0,14,583.33,,278,20,,,10,,0,10.83
100% SOYBEAN IDEAL ALL-PURPOSE VEGETABLE OIL,0,100,0,857,,,,,,,0,,,,,,
100% SOYBEAN OIL VEGETABLE OIL,0,100,0,857,,0,0,0,,,0,,,,,0,0
"100% SOYBEAN OIL, VEGETABLE OIL",0,100,0,857,,0,0,0,,,0,,,,,0,0
100% SOYBEAN VEGETABLE OIL,7.142857143,100,0,857,,0,20.42857143,1.101428571,,125,81.57142857,,,,,214.2857143,0
100% SPANISH EXTRA VIRGIN OLIVE OIL,0,93.33,0,800,,,,,,,0,,,,,0,
"100% SPARKLING CIDER JUICE, CIDER",0.42,0,14.58,,,0,,0,,50,0,,,25,,0,
"100% SPARKLING FRUIT JUICE, FRUIT PUNCH",0,0,12.24,46,,,42,,,,2,,,25.3,,,11.81
"100% SPARKLING FRUIT JUICE, FUJI APPLE",0,0,12.24,46,,,42,,,,2,,,25.3,,,11.39
"100% SPARKLING FRUIT JUICE, STRAWBERRY KIWI",0,0,12.24,46,,,42,,,,2,,,25.3,,,11.81
"100% SPARKLING FRUIT JUICE, TROPIC ORANGE",0,0,12.66,46,,,42,,,,2,,,25.3,,,12.24
100% SPARKLING JUICE,0,0,11.32,48.5,,0.2,21,0.15,,98.5,3,,,12.65,,0,10.07
"100% SPARKLING JUICE, BLUE RASPBERRY",0,0,11.39,51,,0.4,42,0.3,,118,4,,,25.3,,,10.97
100% SPARKLING RED GRAPE JUICE,0.4,0,16.8,68,,0,8,0,,50,4,,,0,,0,16
100% SPARKLING WHITE GRAPE JUICE,0.42,,16.67,67,,,,,,88,10,,,,,,15.42
100% SPELT MATZOS,10.71,0,82.14,393,,3.6,21,0,,114,0,,,,,0,0
100% SPICY VEGETABLE JUICE,0.83,0,4.17,21,,0.4,17,0.29,,171,300,,,12.5,,,2.92
100% SPICY VEGETABLE JUICE FROM CONCENTRATE WITH ADDED INGREDIENTS,0.83,0,4.17,21,,0.8,8,0.45,,,271,,,30,,,2.08
"100% SPICY VEGETABLE JUICE FROM CONCENTRATE WITH ADDED INGREDIENTS, SPICY",0.83,0,4.17,21,,0.8,12,0.42,,185,271,,,45,,0,2.5
"100% SPICY VEGETABLE JUICE FROM CONCENTRATE, SPICY VEGETABLE",0.83,0,4.17,21,,0.6,14.5,0.355,,178,271,,,32.13636364,,0,2.71
100% SPINACH PUREE,2.5,0,4.17,29,,2.5,83,1.2,50,71,117,,,0,,0,0
100% SQUEEZED JUICE,0.42,0.1,14.88,62.5,,0.2,10,0.38,,,1,,,12.15,,0,14.79
"100% SQUEEZED JUICE, BLUEBERRY, STRAWBERRY, RED GRAPE",0.42,0.08,14.88,62,,0.1,8,0.38,,,1,,,12.8,,0,14.75
"100% SQUEEZED JUICE, POMEGRANATE, BLACKBERRY, RASPBERRY, RED GRAPE",0.42,0.12,14.88,63,,0.3,12,0.38,,,1,,,11.5,,0,14.83
100% SQUEEZED ORANGE JUICE,0.83,0.42,10.83,46,,0.8,12,0.45,,167,0,,,62.5,,0,10.42
100% STONE GROUND WHEAT BREAD,9.3,3.49,44.19,233,,7,93,2.51,,,488,,,0,,0,9.3
100% STONE GROUND WHOLE GRAIN SCOTTISH OATMEAL,16.67,6.94,63.89,389,,11.1,56,5,,,0,0,,0,,0,0
"100% STONE GROUND WHOLE WHEAT BREAD, 100% STONE GROUND WHOLE WHEAT",10.53,3.51,40.35,246,,7,53,2.28,,211,491,,0,,,0,5.26
100% STONE GROUND WHOLE WHEAT ORGANIC FLOUR,15.79,0,73.68,368,,18.4,29,2.63,,516,0,,0,,,0,0
100% STONE GROUND WHOLE WHEAT PASTRY FLOUR,13.33,1.67,76.67,367,,10,23,3.33,,370,0,,,,,0,0
"100% STONE GROUND WHOLE WHEAT PASTRY FLOUR, WHOLE WHEAT PASTRY",13.33,1.67,76.67,367,,10,23,3.33,,370,0,,,,,0,0
100% STONE GROUND WHOLE WHEAT PASTRY ORGANIC FLOUR,13.33,1.67,73.33,367,,13.3,43,3.33,,360,0,,,,,0,3.33
"100% STRAWBERRY APPLE JUICE, STRAWBERRY APPLE",0.42,0.42,10.83,50,,0.4,5,0.42,,102,0,,,52.1,,0,10
"100% STRAWBERRY BANANA FRUIT JUICE SMOOTHIE STRAWBERRY AND BANANA PUREES IN A BLEND WITH 2 OTHER JUICES FROM CONCENTRATE, STRAWBERRY BANANA",0.42,0,13.33,54,,1.2,8,0.25,,88,6,,,25,,0,11.67
"100% STRAWBERRY BANANA JUICE BLEND, STRAWBERRY BANANA",0.42,0,13.75,58,,0.4,,,10,167,0,,,6.2,,,12.92
"100% STRAWBERRY KIWI FLAVORED BLEND OF APPLE, STRAWBERRY, PINEAPPLE, KIWI AND GRAPE JUICES FROM CONCENTRATE, STRAWBERRY KIWI",0,0,12,48,,,0,,,56,8,,,14.4,,,9.6
"100% STRAWBERRY RHUBARB FLAVORED JUICE BLEND FROZEN CONCENTRATE, STRAWBERRY RHUBARB",0,0,51.67,217,,,,0.6,,467,42,,,120,,,48.33
